id,moonNumber,kingdom,moonName,,
1,1,Mushroom,Perched on the Castle Roof,"This moon is found atop the back right side of the castle roof, climb the small spire to grab the moon",
2,2,Mushroom,Pops Out of the Tail,"Towards the bottom side of the kingdom, at the end of the little stream that runs through the kingdom you will find a tree with a branch in the shape of a Tanooki tail, throw out and hold cappy on the tail to activate the moon",
3,3,Mushroom,Caught Hopping at Peach's Castle!,"In the flower garden section on the east side of the kingdom you will find a bunny hopping around, capture the bunny to grab the moon",
4,4,Mushroom,Gardening for Toad: Garden Seed,This seed is the seed right beside and closest to the west side of the flower garden,
5,5,Mushroom,Gardening for Toad: Field Seed,This seed is the seed towards the east of the odyssey amongst the trees,
6,6,Mushroom,Gardening for Toad: Pasture Seed,This seed is the seed towards the south side of the sheep pen right besides the single tree,
7,7,Mushroom,Gardening for Toad: Lake Seed,This seed is the seed found under water at the bottom of the lake below dorrie,
8,8,Mushroom,Grow a Flower Garden,"This moon can be found towards the north side of the flower garden, spinthrow in the middle of the circular pattern of flowers to activate the moon",
9,9,Mushroom,Mushroom Kingdom Timer Challenge,"This moon can be activated by throwing cappy on the scarecrow towards the north side of the flower garden, then continuing to head north west to grab the moon that spawns",
10,10,Mushroom,Found at Peach's Castle! Good Dog!,"The dog can be found near the crazy cap store, throw cappy at it to activate it, once it unveils the first dig spot, lead it almost directly south to the second dig spot where it will dig up the moon",
11,11,Mushroom,Taking Notes: Around the Well,"This moon can be found on the east side of the castle, enter the pipe and collect all the music notes to activate the moon",
12,12,Mushroom,Herding Sheep at Peach's Castle,"This moon is activated by luring all 6 sheep into the pen on the east side of the kingdom. These sheep can be found in quadrants : C4, D4, D2 then A4, A2 & B2",
13,13,Mushroom,Gobbling Fruit with Yoshi,"This moon is collected by capturing yoshi from on top of the castle, then going around and eating the first third of the fruits",
14,14,Mushroom,Yoshi's Second Helping!,"This moon is collected by capturing yoshi from on top of the castle, then going around and eating the second third of the fruits",
15,15,Mushroom,Yoshi's All Filled Up!,"This moon is collected by capturing yoshi from on top of the castle, then going around and eating the final third of the fruits",
16,16,Mushroom,Love at Peach's Castle,"This moon is acquired by capturing a goomba and getting it over to goombette on the back side of the castle. If you jump onto, then shake jump off of a slope, you can jump over to her without needing to drain the mote and create a big goomba stack",
17,17,Mushroom,Toad Defender,"This moon is collected by capturing a goomba and leading it up the hill towards the north east side of the castle, scaring off the toad, then heading into the hole to grab the moon",
18,18,Mushroom,"Forever Onward, Captain Toad!",This moon is acquired by talking to Captain Toad who is situated on top of the Crazy Cap store by the odyssey,
19,19,Mushroom,Jammin' in the Mushroom Kingdom,"Head slightly north west of the odyssey and you will see a toad jamming out and wearing headphones, speak to him and select any 8-bit track to get the moon",
20,20,Mushroom,Shopping Near Peach's Castle,This moon is purchased at the Crazy Cap store near the odyssey,
21,21,Mushroom,Mushroom Kingdom Regular Cup,This moon is the first koopa freerunning moon,
22,22,Mushroom,Mushroom Kingdom Master Cup,This moon is the second koopa freerunning mood,
23,23,Mushroom,Picture Match: Basically Mario,This moon is the first Mario picture match moon which can be found by capturing the rocket on the far north east side of the kingdom and getting at least 60 points,
24,24,Mushroom,Picture Match: A Stellar Mario!,This moon is the second Mario picture match moon which can be found by capturing the rocket on the far north east side of the kingdom and getting at least 80 points,
25,25,Mushroom,Light from the Ceiling,"This moon is activated by entering the castle, standing on the sun carpet, entering first person and looking up at the roof",
26,26,Mushroom,Loose-Tile Trackdown,This moon is activated by going around the inside of the castle and groundpounding the 8 tiles one by one that pop out from the floor,
27,27,Mushroom,Totally Classic!,This outfit room can be entered by wearing the Mario 64 costume and talking to the toad on the north side of the kingdom. Then throwing cappy on top of the star in the middle of the room to activate the moon,
28,28,Mushroom,Courtyard Chest Trap,This outfit room can be entered by wearing the Mario 64 costume and talking to the toad on the north side of the kingdom. Then activating the chests in the specified order,
29,29,Mushroom,Yoshi's Feast in the Sea of Clouds,This moon can be found within the pipe subarea found on the south east side of the flower garden. Then once inside going around as yoshi and eating all of the apples,
30,30,Mushroom,Sunken Star in the Sea of Clouds,"This moon can be found within the pipe subarea found on the south east side of the flower garden. Then once inside, heading towards the left and collecting the moon hidden in the fog",
31,31,Mushroom,Secret 2D Treasure,"This moon can be found within the well subarea on the east side of the kingdom. Once inside, this moon can be found all the way at the end of the subarea",
32,32,Mushroom,2D Boost from Bullet Bill,"This moon can be found within the well subarea on the east side of the kingdom. Once inside, this moon can be found about half way through the kingdom and is acquired by bouncing off a bullet bill",
33,33,Mushroom,Tussle in Tostarena: Rematch,"This moon is the Knucklotec refight found in the cap door of the tower on the south west side of the kingdom, near the sheep pen.",
34,34,Mushroom,Struggle in Steam Gardens: Rematch,"This moon is the Torkdrift refight found in the cap door of the tower on the north side of the castle, on top of the tall platform. ",
35,35,Mushroom,Dust-Up in New Donk City: Rematch,This moon is the Mechawiggler refight found in the cap door of the tower on the south east side of the flower garden,
36,36,Mushroom,Battle in Bubblaine: Rematch,"This moon is the Brigadier Mollusque-Lanceur III, Dauphin of Bubblaine refight, found in the pipe at the bottom of the lake",
37,37,Mushroom,Blowup at Mount Volbono: Rematch,This moon is the Cookatiel refight found in the cap door of the tower on the east side of the lake area,
38,38,Mushroom,Rumble in Crumbleden: Rematch,This moon is the Ruined Dragon reight found in the pipe usually underwater at the bottom of the mote on the east side of the castle. You will need to drain the mote and collect the fruit as yoshi before you can enter,
39,39,Mushroom,Secret Path to Peach's Castle!,"This moon is acquired by entering the mushroom painting in Luncheon kingdom, then making your way on top of the chimney",
40,40,Mushroom,A Tourist in the Mushroom Kingdom!,This moon is acquired by talking to the tourist who can be found near the taxi next to the shop. This taxi will only be here if you're gotten all the previous taxi moons up until this point,
41,41,Mushroom,Found with Mushroom Kingdom Art,This moon is acquired by talking to the tourist who can be found near the taxi next to the shop. This taxi will only be here if you're gotten all the previous taxi moons up until this point,
42,42,Mushroom,Hat-and-Seek: Mushroom Kingdom,This moon is acquired by talking to the Happy Cappy on a toad found between some trees on the far north west side of the kingdom,
